text;attention
If;0.032927039785370794
Pinocchio;0.08899640266717879
said,;0.044782214201859585
"""I";0.033188004671618754
am;0.024865372005147157
currently;0.02838217651239881
"lying,""";0.04598567443181613
it;0.02742874177007837
would;0.025745968159896545
lead;0.024939116273383827
to;0.026560921808611117
a;0.023533143717704198
paradox;0.035597505260350465
where;0.028239334802126675
he;0.026234249636192076
is;0.02452628729015491
simultaneously;0.028563661477869363
telling;0.025691189860867412
a;0.023166527400095498
lie;0.028693653172520376
and;0.02429817785671682
telling;0.02326854930351574
the;0.02211173243650597
truth.;0.027474694406214663
Whether;0.028340167803691925
his;0.024787086552305156
nose;0.0260587754334205
grows;0.027809894110633414
would;0.02658277911805044
depend;0.025767972298879012
on;0.023129800159867
the;0.022367213459442564
author's;0.026780393873767495
interpretation.;0.02317557828174837
