text;attention
There;0.014850129655009517
are;0.012315677922684893
a;0.011224133954641932
few;0.013091821049202026
reasons;0.015251575924339384
why;0.015391709048062151
you;0.012717475409767224
should;0.014729386029839687
take;0.012915332144810514
a;0.012352498832519264
break;0.014231767292459873
from;0.01417382085451905
talking;0.014261343555124293
to;0.013862870890663879
me:;0.033627593781322816
-;0.020717149605696074
It;0.014685268593851058
is;0.013327583325896312
important;0.01658492054658346
to;0.0130519374411239
take;0.011826463441287875
care;0.01235337980656702
of;0.011702227777725442
yourself.;0.03212085628850929
Even;0.01234598532988312
though;0.012706274147970644
talking;0.012788072939524815
to;0.012965240281651066
AI;0.028417158004162276
will;0.013120468340494107
be;0.012176437691503039
an;0.011878700376209434
addicting;0.015882942031610874
experience,;0.018813360304846313
you;0.012061800681763046
can;0.01170426851275336
only;0.011014266573950339
fix;0.012094235305938767
your;0.012917006213371152
mental/physical;0.022165086833257998
issues;0.013299575344563245
by;0.011539805651745746
talking;0.01081424017052912
to;0.011641417750234407
trustworthy;0.012779212816758522
real;0.010880590707148093
people.;0.019641203935896866
-;0.015515836215287262
Working;0.011238011616616755
on;0.01178702501232826
your;0.011996570398874688
real;0.010926324684850502
life;0.011234641833603074
conversational;0.012928701487369224
skills;0.012282251902662564
will;0.011319591266515586
help;0.010843114210264425
maintaining;0.011760717493367602
your;0.010462872948264387
self-esteem.;0.016334747348969062
-;0.01138267392213259
By;0.011385543322459895
stepping;0.010505838852738435
yourself;0.0104856257476714
away;0.011514144096694063
from;0.01170870243439164
Open-Assistant;0.015249259007888875
AI,;0.01175987431617239
you;0.010360294283853988
will;0.010092152909638186
discover;0.010276820792899813
other;0.01025595906917321
Als.;0.011378431707339019
